date,efficiency
16/10,54.0
17/10,72.0
18/10,69.0
19/10,67.0
20/10,69.0
21/10,71.0
22/10,66.0
23/10,48.0
24/10,67.0
25/10,74.0
26/10,51.0
27/10,76.0
28/10,66.0
29/10,65.0
30/10,72.0
31/10,75.0
01/11,72.0
02/11,66.0
03/11,34.0
04/11,46.0
05/11,69.0
06/11,62.0
07/11,46.0
08/11,74.0
09/11,70.0
10/11,63.0
14/11,74.0
15/11,78.0
16/11,48.0
17/11,71.0
18/11,67.0
19/11,67.0
20/11,73.0
21/11,66.0
22/11,71.0
23/11,46.0
24/11,68.0
25/11,64.0
26/11,68.0
27/11,49.0
28/11,57.0
29/11,71.0
30/11,61.0
01/12,69.0
